Ano,Mes,Codigo distrito,Codigo zona,Nit cliente,Codigo tipo,Codigo linea,Codigo grupo,Codigo calidad,Gerente,Línea CAM,Ventas,Codigo distrito-zona,Anomaly,Anomaly_Score
2021,11,20,97,817000707,160,165,200,7,Flexografía,Flexografía,29756031.0000,20-97,1,28.807020354694743
2022,1,20,97,817000707,160,165,200,7,Flexografía,Flexografía,24769711.0000,20-97,1,20.13040222514502
2022,1,20,97,890323692,180,2,51,14,Comunicación visual,Equipos - Otros,77176937.0000,20-97,1,125.87234213405381
2022,2,20,97,817000707,999,999,2,999,No aplica,Otros ingresos,0.0000,20-97,1,159.21809387989336
2022,6,20,97,860034313,180,140,205,25,Comunicación visual,Equipos - Roland,69553509.0000,20-97,1,109.62119347059111
2022,7,20,97,901525666,183,2,81,163,Textil,Equipos,95738976.0000,20-97,1,154.94276859438222
2022,8,20,97,817000707,160,165,200,7,Flexografía,Flexografía,48900160.0000,20-97,1,65.33441460464985
2022,8,20,97,890301067,999,999,2,999,No aplica,Otros ingresos,618807.0000,20-97,1,159.42005177206235
2022,12,20,97,901667148,105,1,312,111,Cartulina,Poplar,14919.1800,20-97,1,13.764559574295845
2022,12,20,97,901667148,130,1,240,510,Papeles especiales,Autoadhesivos,15664.0400,20-97,1,14.305251587651838
2022,12,20,97,901667148,130,1,240,520,Papeles especiales,Autoadhesivos,8.9600,20-97,1,14.766870187850202
2022,12,20,97,901667148,180,160,13,622,Comunicación visual,Tintas,839252.0000,20-97,1,15.098122161703571
