Ano,Mes,Codigo distrito,Codigo zona,Nit cliente,Codigo tipo,Codigo linea,Codigo grupo,Codigo calidad,Gerente,Línea CAM,Ventas,Codigo distrito-zona,Anomaly,Anomaly_Score
2021,4,10,72,800065396,240,170,14,82,Tecnología Institucional,Tecnología institucional,6048100.0000,10-72,1,0.0403038307545015
2021,5,10,72,800065396,240,170,14,82,Tecnología Institucional,Tecnología institucional,12891900.0000,10-72,1,0.05141261015979859
2021,6,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,8154900.0000,10-72,1,0.040248170403015315
2021,7,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,11301600.0000,10-72,1,0.04195070584086724
2021,11,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,8116800.0000,10-72,1,0.04529579653528948
2022,1,10,72,800065396,240,170,13,34,Tecnología Institucional,Tecnología institucional,124630.0000,10-72,1,0.044861013498564084
2022,1,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,9363200.0000,10-72,1,0.05662735571356292
2022,1,10,72,800065396,240,170,14,82,Tecnología Institucional,Tecnología institucional,0.0000,10-72,1,0.04446867992907533
2022,1,10,72,800065396,240,170,18,82,Tecnología Institucional,Tecnología institucional,4574928.0000,10-72,1,0.04931582495740938
2022,2,10,72,800065396,240,170,13,34,Tecnología Institucional,Tecnología institucional,0.0000,10-72,1,0.05584083246759386
2022,2,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,10390720.0000,10-72,1,0.06944535847781286
2022,2,10,72,800065396,240,170,18,82,Tecnología Institucional,Tecnología institucional,4917594.0000,10-72,1,0.06183698762355494
2022,4,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,2796800.0000,10-72,1,0.04008706513333993
2022,5,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,6992000.0000,10-72,1,0.05052691548002097
2022,5,10,72,800065396,240,170,18,82,Tecnología Institucional,Tecnología institucional,2163344.0000,10-72,1,0.042789282141942775
2022,7,10,72,830003564,220,150,66,80,Prodispel,Formas especiales,34830000.0000,10-72,1,0.04176641521642288
2022,8,10,72,800065396,240,170,13,35,Tecnología Institucional,Tecnología institucional,12670720.0000,10-72,1,0.05512624605593319
2022,8,10,72,800065396,240,170,18,47,Tecnología Institucional,Tecnología institucional,1241259.0000,10-72,1,0.040209197122990536
2022,8,10,72,800065396,240,170,18,82,Tecnología Institucional,Tecnología institucional,4539520.0000,10-72,1,0.04172889829006754
2022,10,10,72,830003564,220,150,66,80,Prodispel,Formas especiales,43215000.0000,10-72,1,0.04784812345174916
2022,11,10,72,800065396,240,170,14,82,Tecnología Institucional,Tecnología institucional,4706710.0000,10-72,1,0.047845330646884676
2022,11,10,72,800065396,240,170,18,82,Tecnología Institucional,Tecnología institucional,989170.0000,10-72,1,0.047064291380116474
